ac_no,ac_name,district,region,reservation,is_reserved,winner_party_2021,margin_pct_polled_2021,turnout_pct_2021,total_electors_2021,votes_polled_2021,valid_votes_2021,tmc_pct_2021,bjp_pct_2021,left_inc_pct_2021,other_pct_2021,winner_pct_2021,winner_party_2026,margin_pct_polled_2026,turnout_pct_2026,total_electors_2026,votes_polled_2026,valid_votes_2026,tmc_pct_2026,bjp_pct_2026,left_inc_pct_2026,other_pct_2026,winner_pct_2026,swing_tmc,swing_bjp,tmc_lead_2021,tmc_lead_2026,roll_change_pct,turnout_change,third_party_hold_2021
1,MEKLIGANJ,Cooch Behar,North Bengal,SC,1,TMC,7.39,87.76,226465,198744,196297,50.60596952576962,43.12495860863895,3.491138427994315,2.7779334375971105,49.98,BJP,13.52,97.37,224781,218859,216733,41.30658459948416,54.956559453336595,1.6951733238593107,2.041682623319937,54.42,-9.299384926285462,11.831600844697647,7.481010917130675,-13.649974853852434,-0.7436027642240495,9.61,0.0
2,MATHABHANGA,Cooch Behar,North Bengal,SC,1,BJP,12.2,86.36,248022,214203,212760,40.945196465501034,53.22852039857116,3.627561571724008,2.198721564203798,52.87,BJP,23.61,97.07,249135,241845,240932,35.79848255939435,59.49396510218651,2.136702472066807,2.5708498663523316,59.27,-5.146713906106683,6.265444703615344,-12.283323933070129,-23.695482542792156,0.4487505140672976,10.709999999999994,0.0
3,COOCHBEHAR UTTAR,Cooch Behar,North Bengal,SC,1,BJP,5.99,86.19,282988,243916,242346,43.68464922053593,49.71528310762299,4.734965710182961,1.8651019616581253,49.4,BJP,27.69,96.21,264197,254175,252356,33.65998827053845,61.550745771846124,2.865792768945458,1.923473188669974,61.11,-10.024660949997482,11.835462664223137,-6.030633887087056,-27.890757501307675,-6.640210892334652,10.019999999999996,0.0
4,COOCHBEHAR DAKSHIN,Cooch Behar,North Bengal,GEN,0,BJP,2.52,83.61,233839,195505,194041,44.644688493668866,47.18590400997727,5.280327353497457,2.8890801428564066,46.83,BJP,11.34,95.79,214440,205413,203643,41.83694013543309,53.27067466104899,2.9993665385012007,1.8930186650167204,52.81,-2.807748358235777,6.084770651071722,-2.541215516308405,-11.433734525615904,-8.295878788397149,12.180000000000007,0.0
5,SITALKUCHI,Cooch Behar,North Bengal,SC,1,BJP,7.24,86.23,285260,245966,243223,44.050110392520445,51.374664402626394,2.7628966010615774,1.8123286037915822,50.8,BJP,9.03,97.88,285874,279822,278168,42.811897845906074,51.89921198700066,2.3370768744068333,2.951813292686434,51.59,-1.2382125466143705,0.5245475843742682,-7.324554010105949,-9.087314141094588,0.21524223515390073,11.649999999999991,0.0
6,SITAI,Cooch Behar,North Bengal,SC,1,TMC,4.24,82.11,290568,238578,237001,49.75000105484787,45.483352390918185,1.6725667824186397,3.094079771815309,49.42,TMC,1.03,97.06,273362,265319,263995,48.55698024583799,47.52627890679748,2.032993049110779,1.8837477982537547,48.31,-1.1930208090098802,2.0429265158792944,4.266648663929686,1.0307013390405118,-5.921505465157894,14.950000000000003,0.0
7,DINHATA,Cooch Behar,North Bengal,GEN,0,BJP,0.02,81.45,299251,243751,242214,47.88245105567804,47.9059839645933,2.5056355123981273,1.7059294673305425,47.6,BJP,6.51,96.35,278074,267925,266111,45.39759724325563,51.95388390558827,1.747391126259343,0.9011277248967536,51.6,-2.4848538124224078,4.047899940994974,-0.023532908915257167,-6.556286662332639,-7.076668081309667,14.899999999999991,0.0
8,NATABARI,Cooch Behar,North Bengal,GEN,0,BJP,10.79,88.63,245040,217173,216027,40.87590902988978,51.72640456979914,5.4803334768339145,1.917352923477158,51.45,BJP,14.87,96.81,240383,232716,231603,39.85181539099234,54.79678587928481,3.938636373449394,1.4127623562734506,54.53,-1.0240936388974404,3.0703813094856685,-10.85049553990936,-14.94497048829247,-1.9005060398302298,8.180000000000007,0.0
9,TUFANGANJ,Cooch Behar,North Bengal,GEN,0,BJP,14.9,89.36,234311,209378,207309,40.18397657602902,55.233009661905655,2.8812063152106275,1.701807446854695,54.69,BJP,11.46,96.94,238111,230829,229408,41.87648207560329,53.409209792160695,2.842533826196122,1.871774306039894,53.08,1.692505499574274,-1.8237998697449598,-15.049033085876637,-11.532727716557403,1.6217761863506208,7.579999999999998,0.0
10,KUMARGRAM,Alipurduar,North Bengal,ST,1,BJP,4.73,85.18,272924,232489,229771,43.94505834069574,48.732868812861504,4.897484887126748,2.4245879593160145,48.16,BJP,21.42,94.83,260288,246827,243903,36.96838497271456,58.64790510981825,2.61251399121782,1.7711959262493697,57.95,-6.976673367981178,9.915036296956742,-4.787810472165766,-21.679520137103687,-4.629860327417157,9.649999999999991,0.0
